#           k/h    P           
    0.49349E-03    0.28398E+04
    0.49597E-03    0.28532E+04
    0.49845E-03    0.28668E+04
    0.50095E-03    0.28804E+04
    0.50346E-03    0.28940E+04
    0.50599E-03    0.29078E+04
    0.50852E-03    0.29216E+04
    0.51107E-03    0.29354E+04
    0.51363E-03    0.29493E+04
    0.51621E-03    0.29633E+04
    0.51879E-03    0.29774E+04
    0.52139E-03    0.29915E+04
    0.52401E-03    0.30057E+04
    0.52663E-03    0.30199E+04
    0.52927E-03    0.30342E+04
    0.53193E-03    0.30486E+04
    0.53459E-03    0.30630E+04
    0.53727E-03    0.30775E+04
    0.53997E-03    0.30921E+04
    0.54267E-03    0.31068E+04
    0.54539E-03    0.31215E+04
    0.54813E-03    0.31362E+04
    0.55087E-03    0.31511E+04
    0.55364E-03    0.31660E+04
    0.55641E-03    0.31810E+04
    0.55920E-03    0.31960E+04
    0.56200E-03    0.32111E+04
    0.56482E-03    0.32263E+04
    0.56765E-03    0.32416E+04
    0.57050E-03    0.32569E+04
    0.57336E-03    0.32723E+04
    0.57623E-03    0.32878E+04
    0.57912E-03    0.33033E+04
    0.58202E-03    0.33189E+04
    0.58494E-03    0.33346E+04
    0.58787E-03    0.33504E+04
    0.59082E-03    0.33662E+04
    0.59378E-03    0.33821E+04
    0.59676E-03    0.33980E+04
    0.59975E-03    0.34141E+04
    0.60275E-03    0.34302E+04
