#           k/h    P           
    0.17618E-03    0.16059E+00
    0.17706E-03    0.16136E+00
    0.17795E-03    0.16214E+00
    0.17884E-03    0.16292E+00
    0.17974E-03    0.16370E+00
    0.18064E-03    0.16449E+00
    0.18155E-03    0.16528E+00
    0.18246E-03    0.16607E+00
    0.18337E-03    0.16687E+00
    0.18429E-03    0.16767E+00
    0.18521E-03    0.16848E+00
    0.18614E-03    0.16929E+00
    0.18707E-03    0.17010E+00
    0.18801E-03    0.17092E+00
    0.18895E-03    0.17174E+00
    0.18990E-03    0.17257E+00
    0.19085E-03    0.17340E+00
    0.19181E-03    0.17423E+00
    0.19277E-03    0.17507E+00
    0.19374E-03    0.17591E+00
    0.19471E-03    0.17676E+00
    0.19569E-03    0.17761E+00
    0.19667E-03    0.17847E+00
    0.19765E-03    0.17932E+00
    0.19864E-03    0.18019E+00
    0.19964E-03    0.18105E+00
    0.20064E-03    0.18192E+00
    0.20164E-03    0.18280E+00
    0.20266E-03    0.18368E+00
    0.20367E-03    0.18456E+00
    0.20469E-03    0.18545E+00
    0.20572E-03    0.18634E+00
    0.20675E-03    0.18724E+00
    0.20779E-03    0.18814E+00
    0.20883E-03    0.18904E+00
    0.20987E-03    0.18995E+00
    0.21093E-03    0.19086E+00
    0.21198E-03    0.19178E+00
    0.21305E-03    0.19270E+00
    0.21411E-03    0.19363E+00
    0.21519E-03    0.19456E+00
    0.21627E-03    0.19550E+00
    0.21735E-03    0.19644E+00
    0.21844E-03    0.19738E+00
    0.21953E-03    0.19833E+00
    0.22063E-03    0.19928E+00
    0.22174E-03    0.20024E+00
    0.22285E-03    0.20121E+00
    0.22397E-03    0.20217E+00
    0.22509E-03    0.20315E+00
    0.22622E-03    0.20412E+00
    0.22735E-03    0.20510E+00
    0.22849E-03    0.20609E+00
    0.22964E-03    0.20708E+00
    0.23079E-03    0.20808E+00
    0.23195E-03    0.20908E+00
    0.23311E-03    0.21008E+00
    0.23428E-03    0.21109E+00
    0.23545E-03    0.21211E+00
    0.23663E-03    0.21313E+00
    0.23782E-03    0.21415E+00
    0.23901E-03    0.21518E+00
    0.24021E-03    0.21622E+00
    0.24141E-03    0.21726E+00
    0.24262E-03    0.21830E+00
    0.24384E-03    0.21935E+00
